season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
22,3,Nyle DiMarco,0.0007253519297455435,0.5727068279503515,1.0,0.9992746480702545
22,3,Wanya Morris,0.00026621074371227516,0.2106870678214447,0.42110792489917714,0.4208417141554649
22,3,Jodie Sweetin,9.73021407755792e-05,0.07750744077220284,0.1549175794036301,0.15482027726285452
22,3,Paige VanZant,9.73021407755792e-05,0.07750744077220284,0.1549175794036301,0.15482027726285452
22,3,Kim Fields,3.516413831818055e-05,0.028513393997906644,0.05699162385749511,0.05695645971917693
22,3,Marla Maples,1.230484469864554e-05,0.010489491449851052,0.02096667805500346,0.020954373210304814
22,3,Ginger Zee,1.230484469864554e-05,0.010489491449851052,0.02096667805500346,0.020954373210304814
22,3,Doug Flutie,3.8953805363154195e-06,0.0038588682527438277,0.00771384112495134,0.007709945744415025
22,3,Antonio Brown,3.8953805363154195e-06,0.0038588682527438277,0.00771384112495134,0.007709945744415025
22,3,Von Miller,3.8953805363154195e-06,0.0038588682527438277,0.00771384112495134,0.007709945744415025
22,3,Mischa Barton,0.0,0.0005222410279578587,0.0010448184415702676,0.0010448184415702676
22,4,Doug Flutie,0.3335302345541845,0.3335333433333333,0.33353645211248206,6.2175582975498855e-06
22,4,Paige VanZant,0.0,0.2544126788364747,0.5978340061707184,0.5978340061707184
22,4,Ginger Zee,0.0,0.25441267883647456,0.5978340061707181,0.5978340061707181
22,4,Jodie Sweetin,0.08348996316613766,0.08353334333333329,0.08357672350052892,8.676033439125597e-05
22,4,Wanya Morris,0.0,0.03705395783019193,0.16339223513512358,0.16339223513512358
22,4,Antonio Brown,0.0,0.03705395783019187,0.16339223513512352,0.16339223513512352
22,4,Marla Maples,0.0,1.0000000211265168e-08,0.0001162134176317692,0.0001162134176317692
22,4,Kim Fields,0.0,1.0000000037237167e-08,0.006290971457457639,0.006290971457457639
22,4,Von Miller,0.0,1.0000000023359379e-08,0.006290971457457625,0.006290971457457625
22,4,Nyle DiMarco,0.0,1.0000000001675335e-08,0.04647789617235609,0.04647789617235609
22,5,Nyle DiMarco,0.0011056391716876002,0.8725524969860409,1.0,0.9988943608283124
22,5,Jodie Sweetin,0.00014876842237510068,0.11808713931841949,0.23602551021446389,0.23587674179208878
22,5,Ginger Zee,6.457735816950416e-06,0.005879212478611625,0.0117519672214063,0.01174550948558935
22,5,Paige VanZant,1.7443493884492997e-06,0.002162841401159815,0.004323938452931181,0.004322194103542731
22,5,Wanya Morris,1.0391423107191863e-08,0.000795664886001132,0.0015913193805791568,0.0015913089891560496
22,5,Von Miller,0.0,0.0002927087536218358,0.0005860450033078693,0.0005860450033078693
22,5,Doug Flutie,0.0,0.00010768153270839035,0.0002162252271733382,0.0002162252271733382
22,5,Kim Fields,0.0,0.00010768153270839035,0.0002162252271733382,0.0002162252271733382
